Vecindario,Vecindario Latitude,Vecindario Longitude,Lugar,Lugar Latitude,Lugar Longitude,Categoria Lugar
Civic Center,37.8006,-122.265,Fillmore Karaoke,37.8026,-122.268,Karaoke Bar
Civic Center,37.8006,-122.265,Poke Zone,37.8011,-122.27,Poke Place
Civic Center,37.8006,-122.265,Karibbean City,37.8035,-122.268,Nightclub
Civic Center,37.8006,-122.265,Cam Huong Bakery,37.8007,-122.27,Bakery
Civic Center,37.8006,-122.265,Baby Cafe 寶貝茶記,37.8014,-122.27,Chinese Restaurant
Civic Center,37.8006,-122.265,50 Tea,37.801,-122.27,Bubble Tea Shop
Civic Center,37.8006,-122.265,Panda Kitchen,37.8016,-122.264,Chinese Restaurant
Civic Center,37.8006,-122.265,Blue Nile Ethiopian,37.8015,-122.265,Ethiopian Restaurant
Civic Center,37.8006,-122.265,An The Go,37.7982,-122.264,Food Truck
Civic Center,37.8006,-122.265,Basil Pizzeria,37.8023,-122.268,Pizza Place
Civic Center,37.8006,-122.265,The World of Charles and Ray Eames,37.7986,-122.264,Exhibit
Civic Center,37.8006,-122.265,Wezy Cuisine Truck,37.7983,-122.264,Food Truck
Civic Center,37.8006,-122.265,Blue Oak Café,37.7986,-122.263,Café
Civic Center,37.8006,-122.265,B & M Cafe,37.8009,-122.268,Café
Civic Center,37.8006,-122.265,Quickly 快可立,37.8004,-122.27,Café
Civic Center,37.8006,-122.265,Gondola Servizio,37.8024,-122.261,Harbor / Marina
Civic Center,37.8006,-122.265,Gourmet Market,37.8036,-122.262,Grocery Store
Civic Center,37.8006,-122.265,On a bus - 51A AC Transit,37.8033,-122.261,Bus Line
Civic Center,37.8006,-122.265,Friendly Watch Repair,37.8005,-122.27,Jewelry Store
Civic Center,37.8006,-122.265,Lake Merritt Hotel,37.8045,-122.262,Hotel
Claremont Hills,37.8602,-122.233,Garber Park,37.8609,-122.239,Park
Clawson,37.8252,-122.282,Lanesplitter Pizza & Pub,37.8282,-122.279,Pizza Place
Clawson,37.8252,-122.282,Starbucks,37.8288,-122.282,Coffee Shop
Clawson,37.8252,-122.282,Nordstrom Rack,37.8291,-122.281,Discount Store
Clawson,37.8252,-122.282,Ulta Beauty,37.8291,-122.281,Cosmetics Shop
Clawson,37.8252,-122.282,Sally Beauty,37.829,-122.282,Cosmetics Shop
Clawson,37.8252,-122.282,GNC,37.8288,-122.282,Supplement Shop
Clawson,37.8252,-122.282,Speedway Express,37.8255,-122.278,Gas Station
Clawson,37.8252,-122.282,Pet Club,37.8283,-122.285,Pet Store
Clawson,37.8252,-122.282,Kelly's Deli,37.8287,-122.284,Taco Place
Clawson,37.8252,-122.282,The Home Depot,37.8286,-122.284,Hardware Store
Clawson,37.8252,-122.282,Ashley HomeStore,37.8287,-122.282,Furniture / Home Store
Clawson,37.8252,-122.282,Office Depot,37.8281,-122.286,Paper / Office Supplies Store
Clawson,37.8252,-122.282,Best Buy,37.8274,-122.287,Electronics Store
Clawson,37.8252,-122.282,Poplar Park,37.8229,-122.284,Park
Clawson,37.8252,-122.282,Taco Bell,37.829,-122.282,Fast Food Restaurant
Clawson,37.8252,-122.282,EZ Star Smog Check Oakland Test Only,37.8247,-122.278,Business Service
Clawson,37.8252,-122.282,Ellen Webb Dance Studio,37.8211,-122.284,Dance Studio
Cleveland Heights,37.8045,-122.245,Haddon Hill Cafe,37.805,-122.249,Café
Cleveland Heights,37.8045,-122.245,Cleveland Cascade,37.8064,-122.25,Historic Site
Cleveland Heights,37.8045,-122.245,The Perfect Sidekick LGBT Gym,37.8024,-122.241,Gym / Fitness Center
Cleveland Heights,37.8045,-122.245,Leaning Tower of Pizza,37.8046,-122.249,Pizza Place
Cleveland Heights,37.8045,-122.245,Quik Stop,37.8051,-122.25,Convenience Store
Cleveland Heights,37.8045,-122.245,Bowl’d Acai,37.8049,-122.248,Food Truck
Cleveland Heights,37.8045,-122.245,Dave's Grocery & Liquor,37.8022,-122.242,Grocery Store
Cleveland Heights,37.8045,-122.245,Lake Merritt Laundromat,37.8049,-122.249,Laundromat
Cleveland Heights,37.8045,-122.245,Park Boulevard Plaza,37.8012,-122.247,Park
Cleveland Heights,37.8045,-122.245,Creative Framing & Gallery,37.8022,-122.242,Frame Store
Clinton,37.7881,-122.26,Encinal Yacht Club,37.7896,-122.258,Harbor / Marina
Clinton,37.7881,-122.26,Rocky’s Market,37.7873,-122.256,Grocery Store
Clinton,37.7881,-122.26,The Kitchen,37.7875,-122.256,Sandwich Place
Clinton,37.7881,-122.26,Port of Oakland 9th Street Terminal,37.7875,-122.255,Harbor / Marina
Coliseum,37.754,-122.197,Rickey Henderson Field,37.7514,-122.201,Baseball Field
Coliseum,37.754,-122.197,The Treehouse,37.7523,-122.2,Sports Bar
Coliseum,37.754,-122.197,RingCentral Coliseum,37.7516,-122.201,Baseball Stadium
Coliseum,37.754,-122.197,A's Ticket Services,37.7514,-122.201,Baseball Stadium
Coliseum,37.754,-122.197,Eastside Club,37.7522,-122.199,Baseball Stadium
Coliseum,37.754,-122.197,Round Table Pizza,37.7513,-122.201,Pizza Place
Coliseum,37.754,-122.197,Route 73 Bus Stop Westbound,37.7536,-122.197,Bus Stop
Coliseum,37.754,-122.197,Snack Stand,37.7539,-122.197,Snack Place
Coliseum,37.754,-122.197,Coliseum BART Station,37.7537,-122.197,Metro Station
Coliseum,37.754,-122.197,International Taqueria,37.7537,-122.197,Snack Place
Coliseum,37.754,-122.197,Coliseum BART Plaza,37.7523,-122.199,Pedestrian Plaza
Coliseum,37.754,-122.197,Mount Davis,37.7521,-122.2,Baseball Stadium
Coliseum,37.754,-122.197,The Field Irish Pub,37.7515,-122.201,Bar
Coliseum,37.754,-122.197,A8 Tailgate Spot,37.7539,-122.201,Athletics & Sports
Coliseum,37.754,-122.197,Ballpark Poppers,37.7514,-122.2,American Restaurant
Coliseum,37.754,-122.197,Burger Shack,37.7516,-122.201,Burger Joint
Coliseum,37.754,-122.197,Suite 32,37.7514,-122.201,Baseball Stadium
Coliseum,37.754,-122.197,Oakland A's Gate D Team Store,37.7513,-122.201,Sporting Goods Shop
Coliseum,37.754,-122.197,Section 115,37.7511,-122.201,Baseball Stadium
Coliseum,37.754,-122.197,Oakland Airport Connector,37.7574,-122.194,Metro Station
Coliseum,37.754,-122.197,Raiderville,37.7501,-122.2,Football Stadium
Coliseum Industrial (Neighborhood),37.7459,-122.194,"Tacos ""El Jaliciense""",37.7468,-122.195,Food Truck
Coliseum Industrial (Neighborhood),37.7459,-122.194,Chubby Freeze,37.7457,-122.196,Burger Joint
Coliseum Industrial (Neighborhood),37.7459,-122.194,Planet Fitness,37.7458,-122.197,Gym / Fitness Center
Coliseum Industrial (Neighborhood),37.7459,-122.194,Safeway,37.746,-122.195,Grocery Store
Coliseum Industrial (Neighborhood),37.7459,-122.194,McDonald's,37.7459,-122.196,Fast Food Restaurant
Coliseum Industrial (Neighborhood),37.7459,-122.194,Jolly Rogers Diner,37.743,-122.195,Diner
Coliseum Industrial (Neighborhood),37.7459,-122.194,Denny's,37.7453,-122.197,Breakfast Spot
